mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.3309703588485718,0.022926819012849455,0.02422986030578613,0.0034417630695332472,3,2,80,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 80}",-0.4361682497940754,-0.36758128282578706,-0.4289212347028536,-0.46264558442087533,-0.3847130142999924,-0.45645790603958325,-0.4086632664910039,-0.44503946408957423,-0.37555760657790116,-0.5127740960431707,-0.4278521705284818,0.042664749479604774,25
0.37530391216278075,0.020563349483717023,0.024234366416931153,0.001624416803191353,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.4310887656600188,-0.36650911854316276,-0.4260105683027769,-0.4632928965528305,-0.3872823039465315,-0.45417900745920076,-0.4103703925730015,-0.4437270469758402,-0.374037225004344,-0.5114031673536326,-0.42679004923713393,0.04218419043982493,19
0.43150694370269777,0.020360556515558976,0.030332064628601073,0.006311656925435078,3,2,120,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 120}",-0.4310362580330779,-0.36800925853088434,-0.4266853421388081,-0.4625284160454606,-0.38570272364987035,-0.4554401968102004,-0.4122134825732064,-0.44165589738157673,-0.37461676331426214,-0.5103981522339607,-0.4268286490711308,0.0417196287600613,20
0.3384214401245117,0.020318844287073735,0.024022006988525392,0.003525863292780898,3,5,80,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 80}",-0.4361682497940754,-0.36930958219438953,-0.42884098882001775,-0.46264558442087533,-0.3847130142999924,-0.45645790603958325,-0.4086632664910039,-0.4450845277800393,-0.37555760657790116,-0.5130702503194257,-0.4280510976737304,0.04248392770907081,27
0.42913501262664794,0.02551436710162709,0.03130981922149658,0.007268391603317286,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",-0.4310887656600188,-0.36785146011391084,-0.425948173846275,-0.4632928965528305,-0.3872823039465315,-0.45417900745920076,-0.4103703925730015,-0.4437630683894166,-0.374037225004344,-0.5116412114824792,-0.42694545050280086,0.042043366950072034,23
0.5254170179367066,0.021506717607328245,0.032200169563293454,0.008214104543057321,3,5,120,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 120}",-0.4310362580330779,-0.3693790419019542,-0.4266349486752913,-0.4625284160454606,-0.38570272364987035,-0.4554401968102004,-0.4122134825732064,-0.44168630854775,-0.37461676331426214,-0.5105963712171763,-0.42698345107682495,0.04156905148402503,24
0.3481107234954834,0.04699172768827424,0.02789433002471924,0.009146876520217331,3,8,80,"{'max_depth': 3, 'min_samples_split': 8, 'n_estimators': 80}",-0.43614681363671176,-0.36906587233456895,-0.4292097918271558,-0.46264558442087533,-0.3845857310186033,-0.4564716391361027,-0.4086632664910038,-0.44520445611675424,-0.3753566402106968,-0.5131213230364116,-0.4280471118228884,0.042571890281897354,26
0.42229371070861815,0.022881459014169703,0.02687664031982422,0.0021875240827466365,3,8,100,"{'max_depth': 3, 'min_samples_split': 8, 'n_estimators': 100}",-0.4310699665887978,-0.36767041881222956,-0.4258602237821896,-0.46323896620096894,-0.38718034840534793,-0.45429803264028223,-0.41010230491414307,-0.4438545855132287,-0.37389346169736953,-0.5116822448832355,-0.4268850553437793,0.04212217571599507,21
0.46333115100860595,0.02332556131731468,0.027635407447814942,0.0014762940796716013,3,8,120,"{'max_depth': 3, 'min_samples_split': 8, 'n_estimators': 120}",-0.43100272226804115,-0.36920207799975335,-0.4265575230350131,-0.4624866537412089,-0.38558194540058777,-0.4555414926787066,-0.4119870190358472,-0.44175991389854996,-0.3746274833363964,-0.5106352473282777,-0.42693820787223824,0.04162587365357865,22
0.3501865863800049,0.008955437560876018,0.02251133918762207,0.0026053860499090915,5,2,80,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 80}",-0.4543927133308961,-0.3484751038260009,-0.4236210875202346,-0.45243388032351217,-0.38584378514178846,-0.4570201366647133,-0.4057798655508719,-0.4237824344682207,-0.3537706634073801,-0.5177572683934601,-0.42228769386270787,0.048997824496765686,18
0.43025710582733157,0.005323912448635836,0.024556541442871095,0.001014433316560991,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-0.4490374818465421,-0.3472548194261349,-0.4235474308374124,-0.45204849675259706,-0.3836239086524028,-0.45596105300579554,-0.4074200599876082,-0.42559870408412137,-0.35078935887390167,-0.5141010541127404,-0.42093823675792563,0.04859738999121918,15
0.5109089851379395,0.010218279000121747,0.02812936305999756,0.001970656845616649,5,2,120,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 120}",-0.4482187634005575,-0.3479392005458775,-0.4253688598790974,-0.45312104285725335,-0.38035651234032125,-0.4552475987328806,-0.4089992600266262,-0.42319238510916185,-0.3527960750172978,-0.5106379786423358,-0.42058776765514094,0.04773703854698827,12
0.35316128730773927,0.01578493137177604,0.02196822166442871,0.0010851096688273057,5,5,80,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 80}",-0.4518269960021658,-0.35315666984723726,-0.42344933273301977,-0.4500997358825656,-0.3850492382195064,-0.4565426734012553,-0.4070866699925265,-0.42153123957185884,-0.35261529103305483,-0.5200918590946986,-0.4221449705777888,0.04861889781102557,17
0.44917113780975343,0.01841288155601461,0.024229764938354492,0.0008626509975163546,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-0.44655988946997927,-0.3499353067272183,-0.4228522915493638,-0.4499660072067519,-0.3836175968562441,-0.4562947930369415,-0.40800348303703476,-0.42387193150260616,-0.349470268308336,-0.516640398614173,-0.42072119663086494,0.04860976662253957,14
0.5093037366867066,0.004923328087957575,0.027313637733459472,0.002549450359154009,5,5,120,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 120}",-0.44579106203999486,-0.35124444246210046,-0.42479543323634467,-0.45038609417557757,-0.3811488805576844,-0.45505528567235815,-0.4103447887190415,-0.4218954085882086,-0.35184971514059526,-0.5123011572708511,-0.42048122678627564,0.0472605161361105,10
