mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.057671403884887694,0.005075405898140777,0.009494972229003907,0.001176048337012317,0.1,2,80,0.05,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 80, 'reg_lambda': 0.05}",-0.456568468447379,-0.38350669365362655,-0.42214093925287344,-0.4452226011960968,-0.3697970161947056,-0.44680031050000113,-0.4236831173638736,-0.4271023741992374,-0.3853537084356102,-0.5128900609302558,-0.42730652901736593,0.039884154872915974,6
0.048949790000915525,0.003466535027130723,0.007909488677978516,0.0007666615559527437,0.1,2,80,0.1,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 80, 'reg_lambda': 0.1}",-0.4554898768807016,-0.3789034111978983,-0.4187824775369302,-0.4342360351976103,-0.37044456180124685,-0.45265975938130676,-0.4219618272277015,-0.4308668633512364,-0.38058737211024035,-0.5128264473600886,-0.4256758632044961,0.040798158279343445,3
0.04738364219665527,0.0047328255964053274,0.00781247615814209,0.00039623739676439474,0.1,2,80,0.5,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 80, 'reg_lambda': 0.5}",-0.4561614493333967,-0.374707151575115,-0.4242330437933738,-0.4354842469101528,-0.3715443887145693,-0.4474588410595159,-0.41203799595965257,-0.42359139044371347,-0.3768321890711538,-0.5092173736580227,-0.42312680705186656,0.040645331034357024,1
0.05675904750823975,0.006359526522224006,0.007591557502746582,0.0010179415244142768,0.1,2,100,0.05,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'reg_lambda': 0.05}",-0.46167481086591905,-0.3865921743542191,-0.4244359356187776,-0.4412595010147518,-0.3712184760899043,-0.4553118883168145,-0.42696754276926335,-0.42573802254656695,-0.38723506152617704,-0.5166850740050974,-0.42971184871074913,0.04063360597404052,8
0.05423736572265625,0.0025294256134773406,0.007968854904174805,0.0009874326256619694,0.1,2,100,0.1,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'reg_lambda': 0.1}",-0.46117876413622216,-0.37613332657355886,-0.4240708320410008,-0.4291490276203286,-0.366069895666018,-0.45272790594114004,-0.4216038642336703,-0.42952118506925707,-0.387528107852419,-0.513734940414449,-0.4261717849548064,0.04153649347070875,4
0.05230195522308349,0.003085600828789956,0.00886087417602539,0.002208984750402017,0.1,2,100,0.5,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'reg_lambda': 0.5}",-0.46099772284663826,-0.37549119047540713,-0.4275307993190447,-0.4280231380724992,-0.36896861625415445,-0.45224768076101063,-0.4174209439218842,-0.42332810190699,-0.37790730807405026,-0.510796921864779,-0.42427124234964586,0.04156707175452123,2
0.06751270294189453,0.009815071308305208,0.007540321350097657,0.0005258848726680755,0.1,2,120,0.05,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 120, 'reg_lambda': 0.05}",-0.46550184318191534,-0.39238899684572787,-0.42850013312276636,-0.43668662369720573,-0.3724124839309048,-0.4583273635636034,-0.42874078062432786,-0.43005063791556963,-0.3854409549759499,-0.5182102005366023,-0.43162600183945726,0.04072147817571531,9
0.06552481651306152,0.008786098368756134,0.007905054092407226,0.0011493842089493624,0.1,2,120,0.1,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 120, 'reg_lambda': 0.1}",-0.4607358480350595,-0.3855109066475538,-0.4309135147180829,-0.42773134090311205,-0.36741674517973133,-0.4547998189649492,-0.42254248294448715,-0.4324251787280263,-0.38707894164726886,-0.5175883961226955,-0.42867431738909667,0.04125471367456126,7
0.06698787212371826,0.0067393372165766435,0.008995485305786134,0.0023166859475872974,0.1,2,120,0.5,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 120, 'reg_lambda': 0.5}",-0.4622827984292202,-0.37863075237358357,-0.43215714770479907,-0.4288252226082229,-0.36643455378067497,-0.4544153315916542,-0.4207970028238942,-0.42644970071171723,-0.38689588790526386,-0.509227142898343,-0.4266115540827373,0.04054759574880653,5
0.14931933879852294,0.0289759502683717,0.00891733169555664,0.0017971371005854025,0.1,5,80,0.05,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 80, 'reg_lambda': 0.05}",-0.5348894802655989,-0.3862258911402618,-0.4550475421143816,-0.4563670725962564,-0.43583313574629085,-0.46467144370555713,-0.44668815170374604,-0.44346065617900765,-0.4167032176187389,-0.5515761876720529,-0.4591462778741892,0.0473274913816578,28
