Training_Time,Best_Params,CV_RMSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Overfit_Gap
16.23s,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 80, 'reg_lambda': 0.5}",0.42312680705186656,0.327716903731379,0.39696111765771974,0.6551573046794706,0.43956204506546803,0.06924421392634073
13.72s,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 80, 'reg_lambda': 0.3}",0.42195573978031026,0.27527251933563607,0.3989859302638716,0.7566961057637583,0.4338301185689801,0.12371341092823551
29.60s,"{'max_depth': 7, 'min_samples_split': 8, 'n_estimators': 120}",0.41857748452109905,0.2535841982957519,0.41682093104581885,0.7935248832906547,0.38208229526363124,0.16323673275006695
