Features,Importances
s5,0.43763500435027447
bmi,0.4102672775291906
bp,0.08536290546473227
age,0.06673796638329246
s1,0.05742187199294167
s3,0.053656121893894106
s6,0.048846294145316084
s2,0.04101201396275138
sex,0.01772009995674221
s4,0.015938874346912137
