Features,Importances
s5,0.30760180539293613
bmi,0.23673709610915386
bp,0.07583520934398398
s3,0.05536383441043062
age,0.031028616159464763
sex,0.028893060896205004
s1,0.02574568321706332
s6,0.0256165834468318
s4,0.008860300550222855
s2,0.008279312740495249
