Features,Importances
s5,0.3541316659295064
bmi,0.28407509719752444
bp,0.0996918376269735
s3,0.09687581595279324
age,0.06739250099073489
s6,0.0637868741093553
sex,0.050602003636732916
s1,0.04140252807961091
s2,0.017343089559631375
s4,0.006133344124745699
